==============================================================
                  1D PLASMA SIMULATION OUTPUT                 
==============================================================
computed with Project_Main_7.py

--- Simulation Parameters ---
scheme              : 0
solver              : f

--------- Particles ---------
particles number    : 1000
population A number : 500
population B number : 500
charge              : -1
mass                : 1
position dispersion : 0.1
velocity dispersion : 0.1

----- Domain Parameters -----
domain length       : 1
cell number         : 300
Permitivity         : 1.0

------ Time Parameters ------
Tmin                : 0.0
Tmax                : 10.0
dt                  : 0.001

---- Numerical Parameters ----
max relaxation steps : 50
epsilon              : 0.0001
eps                  : 0.0017
save every X step    : 100
random seed          : 0

==============================================================

  step       time     energy
   100      0.100  5.501e+02
   200      0.200  5.602e+02
   300      0.300  5.821e+02
   400      0.400  6.082e+02
   500      0.500  6.209e+02
   600      0.600  6.406e+02
   700      0.697  6.573e+02
   800      0.782  6.691e+02
   900      0.855  6.726e+02
  1000      0.930  6.749e+02
  1100      1.013  6.849e+02
  1200      1.101  6.916e+02
  1300      1.190  7.053e+02
  1400      1.273  7.109e+02
  1500      1.353  7.208e+02
  1600      1.430  7.258e+02
  1700      1.503  7.309e+02
  1800      1.577  7.408e+02
  1900      1.646  7.459e+02
  2000      1.710  7.527e+02
  2100      1.766  7.545e+02
  2200      1.821  7.607e+02
  2300      1.870  7.617e+02
  2400      1.915  7.655e+02
  2500      1.959  7.662e+02
  2600      2.001  7.695e+02
  2700      2.044  7.697e+02
  2800      2.089  7.749e+02
  2900      2.139  7.755e+02
  3000      2.193  7.799e+02
  3100      2.254  7.847e+02
  3200      2.327  7.918e+02
  3300      2.407  8.014e+02
  3400      2.497  8.191e+02
  3500      2.586  8.303e+02
  3600      2.658  8.434e+02
  3700      2.718  8.470e+02
  3800      2.770  8.516e+02
  3900      2.816  8.564e+02
  4000      2.860  8.605e+02
  4100      2.904  8.621e+02
  4200      2.951  8.652e+02
  4300      3.001  8.721e+02
  4400      3.060  8.798e+02
  4500      3.136  8.903e+02
  4600      3.217  9.100e+02
  4700      3.285  9.157e+02
  4800      3.348  9.250e+02
  4900      3.404  9.354e+02
  5000      3.454  9.373e+02
  5100      3.500  9.429e+02
  5200      3.541  9.474e+02
  5300      3.580  9.504e+02
