==============================================================
                  1D PLASMA SIMULATION OUTPUT                 
==============================================================
computed with Project_Main_7.py

--- Simulation Parameters ---
scheme              : 1
solver              : f

--------- Particles ---------
particles number    : 1000
population A number : 500
population B number : 500
charge              : -1
mass                : 1
position dispersion : 0.1
velocity dispersion : 0.1

----- Domain Parameters -----
domain length       : 1
cell number         : 300
Permitivity         : 1.0

------ Time Parameters ------
Tmin                : 0.0
Tmax                : 10.0
dt                  : 0.001

---- Numerical Parameters ----
max relaxation steps : 50
epsilon              : 0.0001
eps                  : 0.0017
save every X step    : 100
random seed          : 0

==============================================================

  step       time     energy
   100      0.100  5.449e+02
   200      0.200  5.450e+02
   300      0.300  5.446e+02
   400      0.400  5.451e+02
   500      0.500  5.453e+02
   600      0.600  5.457e+02
   700      0.700  5.450e+02
   800      0.800  5.454e+02
   900      0.894  5.450e+02
  1000      0.993  5.462e+02
  1100      1.092  5.459e+02
  1200      1.187  5.456e+02
  1300      1.270  5.453e+02
  1400      1.354  5.448e+02
  1500      1.436  5.447e+02
  1600      1.516  5.445e+02
  1700      1.601  5.448e+02
  1800      1.696  5.447e+02
  1900      1.788  5.449e+02
  2000      1.879  5.447e+02
  2100      1.972  5.448e+02
  2200      2.066  5.452e+02
  2300      2.157  5.449e+02
  2400      2.256  5.451e+02
  2500      2.352  5.445e+02
  2600      2.434  5.457e+02
  2700      2.515  5.457e+02
  2800      2.595  5.455e+02
  2900      2.669  5.458e+02
  3000      2.750  5.454e+02
  3100      2.836  5.457e+02
  3200      2.920  5.455e+02
  3300      3.013  5.459e+02
  3400      3.102  5.458e+02
  3500      3.182  5.458e+02
  3600      3.261  5.466e+02
  3700      3.337  5.468e+02
  3800      3.407  5.470e+02
  3900      3.478  5.469e+02
  4000      3.551  5.477e+02
  4100      3.624  5.474e+02
  4200      3.704  5.474e+02
  4300      3.790  5.476e+02
  4400      3.879  5.471e+02
  4500      3.966  5.472e+02
  4600      4.051  5.466e+02
  4700      4.127  5.478e+02
  4800      4.198  5.476e+02
  4900      4.269  5.476e+02
  5000      4.338  5.476e+02
  5100      4.406  5.475e+02
  5200      4.479  5.480e+02
  5300      4.555  5.482e+02
  5400      4.634  5.480e+02
  5500      4.717  5.481e+02
  5600      4.800  5.471e+02
  5700      4.883  5.481e+02
  5800      4.963  5.479e+02
  5900      5.041  5.484e+02
  6000      5.112  5.475e+02
  6100      5.180  5.477e+02
  6200      5.248  5.481e+02
  6300      5.315  5.478e+02
  6400      5.381  5.474e+02
  6500      5.450  5.478e+02
  6600      5.519  5.478e+02
  6700      5.591  5.479e+02
  6800      5.670  5.474e+02
  6900      5.754  5.479e+02
  7000      5.837  5.471e+02
  7100      5.922  5.481e+02
  7200      6.003  5.477e+02
  7300      6.079  5.479e+02
  7400      6.155  5.476e+02
  7500      6.229  5.475e+02
  7600      6.296  5.478e+02
  7700      6.364  5.476e+02
  7800      6.432  5.478e+02
  7900      6.496  5.476e+02
  8000      6.562  5.474e+02
  8100      6.628  5.478e+02
  8200      6.693  5.480e+02
  8300      6.762  5.477e+02
  8400      6.833  5.479e+02
  8500      6.904  5.482e+02
  8600      6.978  5.477e+02
  8700      7.060  5.481e+02
  8800      7.145  5.479e+02
  8900      7.232  5.482e+02
  9000      7.317  5.483e+02
  9100      7.395  5.488e+02
  9200      7.468  5.481e+02
  9300      7.537  5.478e+02
  9400      7.603  5.478e+02
  9500      7.669  5.480e+02
  9600      7.736  5.477e+02
  9700      7.801  5.472e+02
  9800      7.867  5.472e+02
  9900      7.935  5.472e+02
 10000      8.007  5.476e+02
 10100      8.079  5.468e+02
 10200      8.157  5.477e+02
 10300      8.241  5.476e+02
 10400      8.328  5.480e+02
 10500      8.418  5.480e+02
 10600      8.499  5.486e+02
 10700      8.572  5.479e+02
 10800      8.642  5.478e+02
 10900      8.709  5.480e+02
 11000      8.774  5.480e+02
 11100      8.838  5.476e+02
 11200      8.903  5.476e+02
 11300      8.967  5.477e+02
 11400      9.031  5.474e+02
 11500      9.098  5.473e+02
 11600      9.166  5.474e+02
 11700      9.233  5.471e+02
 11800      9.306  5.471e+02
 11900      9.385  5.471e+02
 12000      9.464  5.473e+02
 12100      9.548  5.476e+02
 12200      9.631  5.474e+02
 12300      9.710  5.475e+02
 12400      9.787  5.474e+02
 12500      9.860  5.471e+02
 12600      9.927  5.474e+02
 12700      9.994  5.476e+02
