==============================================================
                  1D PLASMA SIMULATION OUTPUT                 
==============================================================
computed with Project_Main_7.py

--- Simulation Parameters ---
scheme              : 2
solver              : f

--------- Particles ---------
particles number    : 1000
population A number : 500
population B number : 500
charge              : -1
mass                : 1
position dispersion : 0.1
velocity dispersion : 0.1

----- Domain Parameters -----
domain length       : 1
cell number         : 300
Permitivity         : 1.0

------ Time Parameters ------
Tmin                : 0.0
Tmax                : 10.0
dt                  : 0.001

---- Numerical Parameters ----
max relaxation steps : 50
epsilon              : 0.0001
eps                  : 0.0017
save every X step    : 100
random seed          : 0

==============================================================

  step       time     energy
   100      0.100  5.448e+02
   200      0.200  5.450e+02
   300      0.300  5.446e+02
   400      0.400  5.452e+02
   500      0.500  5.455e+02
   600      0.600  5.455e+02
   700      0.700  5.441e+02
   800      0.800  5.453e+02
   900      0.897  5.449e+02
  1000      0.997  5.458e+02
  1100      1.097  5.446e+02
  1200      1.191  5.459e+02
  1300      1.273  5.445e+02
  1400      1.358  5.448e+02
  1500      1.443  5.441e+02
  1600      1.531  5.448e+02
  1700      1.609  5.443e+02
  1800      1.691  5.441e+02
  1900      1.778  5.436e+02
  2000      1.863  5.445e+02
  2100      1.948  5.436e+02
  2200      2.041  5.446e+02
  2300      2.139  5.441e+02
  2400      2.234  5.452e+02
  2500      2.333  5.434e+02
  2600      2.427  5.441e+02
  2700      2.511  5.434e+02
  2800      2.600  5.445e+02
  2900      2.695  5.439e+02
  3000      2.795  5.440e+02
  3100      2.892  5.447e+02
  3200      2.991  5.435e+02
  3300      3.090  5.438e+02
  3400      3.190  5.433e+02
  3500      3.287  5.442e+02
  3600      3.377  5.434e+02
  3700      3.476  5.442e+02
  3800      3.576  5.438e+02
  3900      3.676  5.440e+02
  4000      3.768  5.445e+02
  4100      3.864  5.438e+02
  4200      3.964  5.437e+02
  4300      4.064  5.434e+02
  4400      4.157  5.438e+02
  4500      4.256  5.428e+02
  4600      4.356  5.437e+02
  4700      4.453  5.440e+02
  4800      4.549  5.434e+02
  4900      4.645  5.440e+02
  5000      4.742  5.443e+02
  5100      4.842  5.438e+02
  5200      4.942  5.436e+02
  5300      5.040  5.444e+02
  5400      5.140  5.441e+02
  5500      5.240  5.430e+02
  5600      5.338  5.447e+02
  5700      5.438  5.435e+02
  5800      5.538  5.433e+02
  5900      5.638  5.427e+02
  6000      5.736  5.429e+02
  6100      5.832  5.436e+02
  6200      5.927  5.431e+02
  6300      6.026  5.437e+02
  6400      6.126  5.428e+02
  6500      6.217  5.433e+02
  6600      6.309  5.433e+02
  6700      6.404  5.431e+02
  6800      6.503  5.435e+02
  6900      6.600  5.433e+02
  7000      6.700  5.433e+02
  7100      6.799  5.426e+02
  7200      6.893  5.430e+02
  7300      6.993  5.430e+02
  7400      7.086  5.434e+02
  7500      7.177  5.433e+02
  7600      7.276  5.437e+02
  7700      7.376  5.437e+02
  7800      7.471  5.437e+02
  7900      7.561  5.441e+02
  8000      7.645  5.439e+02
  8100      7.740  5.439e+02
  8200      7.840  5.445e+02
  8300      7.940  5.450e+02
  8400      8.040  5.450e+02
  8500      8.139  5.442e+02
  8600      8.239  5.450e+02
  8700      8.339  5.444e+02
  8800      8.439  5.442e+02
  8900      8.539  5.439e+02
  9000      8.639  5.437e+02
  9100      8.739  5.441e+02
  9200      8.839  5.432e+02
  9300      8.939  5.439e+02
  9400      9.039  5.441e+02
  9500      9.139  5.443e+02
  9600      9.231  5.441e+02
  9700      9.313  5.442e+02
  9800      9.397  5.445e+02
  9900      9.493  5.439e+02
 10000      9.593  5.449e+02
 10100      9.693  5.445e+02
 10200      9.793  5.448e+02
 10300      9.893  5.453e+02
 10400      9.993  5.452e+02
