==============================================================
                  1D PLASMA SIMULATION OUTPUT                 
==============================================================
computed with Project_Main_7.py

--- Simulation Parameters ---
scheme              : 3
solver              : f

--------- Particles ---------
particles number    : 1000
population A number : 500
population B number : 500
charge              : -1
mass                : 1
position dispersion : 0.1
velocity dispersion : 0.1

----- Domain Parameters -----
domain length       : 1
cell number         : 300
Permitivity         : 1.0

------ Time Parameters ------
Tmin                : 0.0
Tmax                : 10.0
dt                  : 0.001

---- Numerical Parameters ----
max relaxation steps : 50
epsilon              : 0.0001
eps                  : 0.0017
save every X step    : 100
random seed          : 0

==============================================================

  step       time     energy
   100      0.100  5.448e+02
   200      0.200  5.449e+02
   300      0.300  5.456e+02
   400      0.400  5.457e+02
   500      0.500  5.452e+02
   600      0.600  5.464e+02
   700      0.700  5.443e+02
   800      0.800  5.455e+02
   900      0.894  5.449e+02
  1000      0.993  5.469e+02
  1100      1.093  5.454e+02
  1200      1.189  5.461e+02
  1300      1.273  5.455e+02
  1400      1.359  5.454e+02
  1500      1.444  5.448e+02
  1600      1.529  5.448e+02
  1700      1.617  5.438e+02
  1800      1.714  5.447e+02
  1900      1.810  5.438e+02
  2000      1.896  5.437e+02
  2100      1.984  5.437e+02
  2200      2.073  5.436e+02
  2300      2.161  5.436e+02
  2400      2.252  5.438e+02
  2500      2.351  5.430e+02
  2600      2.448  5.439e+02
  2700      2.532  5.433e+02
  2800      2.614  5.443e+02
  2900      2.696  5.445e+02
  3000      2.779  5.441e+02
  3100      2.864  5.452e+02
  3200      2.962  5.444e+02
  3300      3.059  5.448e+02
  3400      3.146  5.439e+02
  3500      3.226  5.446e+02
  3600      3.299  5.440e+02
  3700      3.374  5.444e+02
  3800      3.444  5.452e+02
  3900      3.511  5.442e+02
  4000      3.582  5.442e+02
  4100      3.654  5.448e+02
  4200      3.730  5.454e+02
  4300      3.813  5.442e+02
  4400      3.902  5.448e+02
  4500      3.991  5.443e+02
  4600      4.080  5.445e+02
  4700      4.159  5.441e+02
  4800      4.234  5.443e+02
  4900      4.305  5.445e+02
  5000      4.377  5.444e+02
  5100      4.449  5.445e+02
  5200      4.522  5.446e+02
  5300      4.603  5.448e+02
  5400      4.687  5.449e+02
  5500      4.769  5.453e+02
  5600      4.861  5.447e+02
  5700      4.946  5.451e+02
  5800      5.023  5.442e+02
  5900      5.098  5.448e+02
  6000      5.171  5.447e+02
  6100      5.249  5.448e+02
  6200      5.331  5.448e+02
  6300      5.415  5.455e+02
  6400      5.509  5.452e+02
  6500      5.604  5.448e+02
  6600      5.692  5.452e+02
  6700      5.775  5.447e+02
  6800      5.854  5.449e+02
  6900      5.937  5.450e+02
  7000      6.026  5.444e+02
  7100      6.121  5.446e+02
  7200      6.216  5.443e+02
  7300      6.302  5.451e+02
  7400      6.388  5.450e+02
  7500      6.478  5.447e+02
  7600      6.573  5.442e+02
  7700      6.672  5.443e+02
  7800      6.763  5.449e+02
  7900      6.849  5.440e+02
  8000      6.936  5.449e+02
  8100      7.021  5.445e+02
  8200      7.116  5.445e+02
  8300      7.213  5.444e+02
  8400      7.304  5.447e+02
  8500      7.398  5.446e+02
  8600      7.496  5.445e+02
  8700      7.591  5.450e+02
  8800      7.688  5.446e+02
  8900      7.779  5.450e+02
  9000      7.869  5.446e+02
  9100      7.955  5.446e+02
  9200      8.049  5.440e+02
  9300      8.147  5.446e+02
  9400      8.239  5.450e+02
  9500      8.325  5.447e+02
  9600      8.411  5.445e+02
  9700      8.496  5.447e+02
  9800      8.581  5.445e+02
  9900      8.669  5.443e+02
 10000      8.760  5.442e+02
 10100      8.853  5.444e+02
 10200      8.939  5.442e+02
 10300      9.031  5.444e+02
 10400      9.127  5.451e+02
 10500      9.223  5.446e+02
 10600      9.321  5.442e+02
 10700      9.421  5.442e+02
 10800      9.519  5.444e+02
 10900      9.619  5.449e+02
 11000      9.719  5.444e+02
 11100      9.817  5.446e+02
 11200      9.910  5.452e+02
 11300      9.991  5.445e+02
